구분,  여객(명)  ,  여객킬로(Km)  ,  화물(톤)  ,  화물톤킬로(Km)  ,  운항(회)  ,  운항킬로(Km)  
1989,17234880 ,32973999372 ,865713 ,4331431570 ,122857 ,240728926 
1990,20690235 ,40415780780 ,959590 ,4626454321 ,139529 ,280656064 
1991,22523737 ,42968310434 ,986884 ,4548580506 ,150595 ,300479394 
1992,25811748 ,50453658708 ,1078832 ,5062484859 ,177627 ,347095622 
1993,27201333 ,53138303731 ,1223888 ,6287703403 ,201182 ,371002537 
1994,31481845 ,60636514958 ,1418923 ,7107986755 ,214424 ,416475276 
1995,35611282 ,69018847961 ,1613469 ,8218439669 ,234027 ,468101617 
1996,39559043 ,78775501273 ,1782337 ,9176947009 ,254565 ,528539658 
1997,42176926 ,83426879836 ,2018393 ,10700851468 ,277048 ,591150615 
1998,33608780 ,62612530888 ,1834298 ,9400102457 ,248188 ,489105234 
1999,37894642 ,72436042000 ,2112703 ,10898300517 ,246910 ,498569299 
2000,41967169 ,83955503185 ,2383581 ,12429945390 ,273691 ,561891020 
2001,42161838 ,84544146258 ,2294864 ,11326745204 ,283914 ,567756515 
2002,43965144 ,92174967638 ,2509507 ,12606344764 ,303032 ,641000008 
2003,42838812 ,82231019775 ,2631359 ,11695819583 ,310124 ,615049182 
2004,45823588 ,96583257785 ,2978118 ,13809815644 ,313708 ,688719258 
2005,46841441 ,101664400680 ,2989203 ,13597859781 ,314128 ,697677439 
2006,49888580 ,110790631182 ,3208783 ,14730313293 ,340637 ,765599846 
2007,53715079 ,121307694103 ,3454508 ,15880213082 ,386314 ,860482950 
2008,52331770 ,121563259836 ,3251606 ,14948577845 ,389484 ,868323394 
2009,51574629 ,116308231361 ,3141146 ,14085183952 ,379865 ,790370533 
2010,60277303 ,135770783780 ,3588741 ,16376088401 ,403296 ,894995910 
2011,63629352 ,148393975328 ,3519237 ,16021369980 ,432080 ,984715383 
2012,69304162 ,162734832587 ,3474057 ,15678617167 ,469335 ,1055832994 
2013,73340261 ,172962561667 ,3498939 ,15657045872 ,500738 ,1116671455 
2014,81426297 ,183113042574 ,3693861 ,16472894383 ,536586 ,1151922788 
2015,89414538 ,198443391184 ,3806553 ,16780475856 ,570591 ,1197486056 
2016,103913732 ,224081038844 ,4073795 ,17477169423 ,629853 ,1291889819 
2017,109361974 ,243641271520 ,4321641 ,18875336169 ,653654 ,1365679888 
2018,117525898 ,263629301103 ,4441975 ,19447758637 ,691521 ,1455708646 
2019,123366608 ,281755393409 ,4274717 ,18306326147 ,723592 ,1543833004 
2020,39403960 ,62314352681 ,3252778 ,15811549626 ,339594 ,770665128 
2021,36356010 ,31777992723 ,3624832 ,18396280846 ,344140 ,796210636 
2022,55828355 ,106873081476 ,3549791 ,17886623141 ,399207 ,963942086 
2023,100508691 ,237127649392 ,3953921 ,18763645329 ,602363 ,1391416356 
