구분,여객(명),여객킬로(Km),화물(톤),화물톤킬로(Km),운항(편),운항킬로(Km)
1989,8283164 ,29795423539 ,711295 ,4268280900 ,44219 ,212959283 
1990,9626415 ,36405075593 ,776759 ,4554913269 ,53442 ,249721301 
1991,10270666 ,38521435036 ,787342 ,4470003436 ,59927 ,267728140 
1992,11257011 ,45220452753 ,837215 ,4968222114 ,66363 ,307090481 
1993,11651345 ,47627320253 ,950574 ,6182815941 ,68615 ,324066393 
1994,13075979 ,54155141982 ,1112841 ,6991924086 ,77332 ,368526347 
1995,14602751 ,61613305631 ,1290749 ,8095571850 ,89880 ,417823447 
1996,15992455 ,70487823984 ,1430974 ,9043163394 ,99727 ,474983759 
1997,16598273 ,74374822877 ,1631074 ,10552240545 ,105267 ,531408207 
1998,14104367 ,55735664549 ,1470751 ,9260279496 ,90801 ,434778500 
1999,16750100 ,64933954645 ,1719428 ,10747219732 ,94635 ,445444973 
2000,19452282 ,75916476370 ,1949353 ,12262640090 ,108320 ,503909303 
2001,20350504 ,76670781464 ,1863832 ,11158894507 ,120566 ,509607214 
2002,22716818 ,84366111512 ,2076805 ,12436273397 ,140087 ,581765080 
2003,21459288 ,74293311256 ,2208794 ,11529401352 ,144420 ,554609808 
2004,26930936 ,89432112574 ,2569133 ,13646287775 ,170217 ,635846318 
2005,29683846 ,95070645837 ,2616818 ,13447265284 ,186357 ,649887657 
2006,32707495 ,104139645535 ,2853534 ,14585496381 ,213591 ,717747134 
2007,36867209 ,114781804194 ,3138110 ,15751272660 ,253026 ,809520260 
2008,35341410 ,114920255448 ,2997367 ,14845564933 ,249712 ,814141607 
2009,33513556 ,109203059493 ,2872469 ,13974345353 ,232482 ,733250621 
2010,40060948 ,127760197379 ,3326884 ,16269479765 ,256688 ,837835526 
2011,42648549 ,139999170306 ,3238105 ,15906489014 ,280568 ,924896637 
2012,47702644 ,154025032053 ,3208780 ,15570007045 ,313726 ,994113658 
2013,50986891 ,163869564223 ,3246253 ,15552806369 ,338988 ,1052112177 
2014,56778759 ,173643425127 ,3410742 ,16362231739 ,366485 ,1088367933 
2015,61434404 ,187736721402 ,3518772 ,16668181349 ,388008 ,1129168964 
2016,73000810 ,212261253909 ,3780908 ,17364874916 ,438856 ,1220195279 
2017,76955719 ,231398037659 ,4031516 ,18763256304 ,457099 ,1292909720 
2018,85925288 ,251747144593 ,4168783 ,19342425708 ,497089 ,1384385156 
2019,90385640 ,269322159636 ,4015907 ,18674483742 ,528239 ,1471896831 
2020,14239922 ,52825973790 ,3070993 ,15739129769 ,167211 ,707024399 
2021,3208695 ,19425504763 ,3420162 ,18315399325 ,131442 ,718003390 
2022,19499920 ,93185602310 ,3320436 ,17796219327 ,182761 ,883343410 
2023,68319015 ,224957742079 ,3741482 ,18848514055 ,411298 ,1320152642 
